Constituent Number,Constituent UUID,PGSS Year,Faculty Year,TA RD Years,Received Date,Gift Count,Total Gift Amounts,Largest Gift Amount,Last Gift Date,Last Gift Amount Ever,Months_since_last_donation,last_gift_amount,total_gift_amount,gift_count,LYBUNT_indicator,SYBUNT_Indicator,Never_donator
77257816,6a02bfd0-e2e2-4eb8-8dba-a981fb2529e3,1982,,,7/2/2013,6,"1,375.00",300,11/19/2017,300,8.3,300,1375,6,1,0,0
77254399,e55f10c5-f5dd-49ae-9da1-f037194f45d4,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77257735,a13e33ba-f5d5-4bf3-8a20-dc252399de80,1982,,,11/22/2015,3,120,50,11/10/2017,50,8.6,50,120,3,1,0,0
77254390,1bb350df-7ac5-4922-a38f-dd39880ff2e4,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254433,c01f3e94-6f71-4a99-92e5-206b9436b18b,1982,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254434,f2a6d3e5-6528-4bde-9596-c4dcbf15f7e9,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254435,6741735d-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254436,43479df1-0500-4671-baa1-7ab3624671ef,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254437,8e9ce754-ed07-4bf4-8869-3dbf824caa63,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254438,9cd06265-0336-43c3-8423-6557091c3a09,1983,,,3/12/2013,1,100,100,3/12/2013,100,65.4,100,100,1,0,1,0
77254439,571ac578-39da-497f-b05d-e5ec6c3f4dbf,1983,,,8/21/2011,2,200,100,11/22/2015,100,32.5,100,200,2,0,1,0
77254465,77017005-39d5-4ed7-b859-a2bbdadab740,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254440,f6f6ed19-869b-440b-8584-50299a8d4cca,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254441,e722c62d-72e1-4d42-953d-e320199f0ec4,1983,,,11/14/2016,1,100,100,11/14/2016,100,20.6,100,100,1,0,1,0
77254442,6741774b-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254443,9523d756-828c-4c7a-9df1-8cd292cfe1fc,1983,,,10/3/2012,2,198,100,10/3/2012,98,70.7,98,198,2,0,1,0
77254444,598f2385-ae2f-407e-8d85-5619b174d175,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254445,da3d8ab7-b790-4466-8001-a6b38136c06f,1983,,,3/12/2013,1,100,100,3/12/2013,100,65.4,100,100,1,0,1,0
77254446,c68e98e0-29d3-4cb8-93ba-9835f161db6f,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254462,1d96ab8a-4a00-4995-9b60-64077f75c312,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254447,4ac9edfd-1371-40eb-b36f-2b94c0b8ee4d,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254448,51b5e1b1-2fb6-4197-9503-b712a6a7e709,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254449,ff96a724-e330-448e-b5ad-378c3abe2f9f,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254491,674b9cbe-71bc-48b6-bf7b-059a9742fcd2,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254450,5941daff-58fd-4f3a-adee-acafc89c7034,1983,,,12/1/2015,55,"2,390.00",500,5/31/2018,25,1.8,25,2390,55,0,0,0
77254451,67417cf2-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254452,d8757316-5234-4259-997e-e57009235a2a,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254453,671818d7-66dc-46c1-87b9-54efe7aa024a,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254345,dfe220b8-2a85-46cf-80fa-1d0b4ff90f13,1983,,,4/12/2011,1,100,100,4/12/2011,100,88.7,100,100,1,0,1,0
77254469,6bb8940a-1965-42da-b90d-2dfc7c7ea9a2,1983,,,8/24/2011,3,350,150,11/15/2017,150,8.4,150,350,3,1,0,0
77254454,dcf48943-cd57-49d2-a1a3-c07dbe6c6ab3,1983,,,4/19/2011,3,300,100,11/23/2015,100,32.5,100,300,3,0,1,0
77254456,097fea03-a770-47a1-bd59-c9948e29e9d5,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254457,c7327e7d-d944-4e12-ab71-dddc6f98f2d6,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254458,67418106-ed72-11e6-8ec5-1254aa67e287,1983,,,4/12/2011,3,556.16,250,11/18/2017,206.16,8.3,206.16,556.16,3,1,0,0
77254459,6741819a-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254460,d2aa88c8-1783-471c-bab6-85d471fc5564,1983,,1986,,0,0,0,,0,1000,0,0,0,0,0,1
77254461,b03cf8f3-b276-44a1-afce-a3a1dea1d6f0,1983,,,11/17/2017,1,154.67,154.67,11/17/2017,154.67,8.3,154.67,154.67,1,1,0,0
77254463,866857d8-2da3-4b44-8c4d-a97a6fc50b08,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254464,c7eb1ba6-07bd-458e-bfd3-b8a4ab1fe5a6,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254482,15881c79-4241-46b8-afaa-8bc4df91f78a,1983,,,11/16/2016,2,200,100,11/20/2017,100,8.2,100,200,2,1,0,0
77254466,587e7801-19d5-4374-8ee0-dc77e4d2384a,1983,,,11/11/2015,3,"1,100.00",500,11/15/2017,500,8.4,500,1100,3,1,0,0
89821893,98092979-5cc4-4f3a-94da-9d3beadabb03,1983,,,11/20/2016,1,100,100,11/20/2016,100,20.4,100,100,1,0,1,0
77254455,9382720a-314d-43d7-b806-0b565f794f15,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254467,bd93dae9-aa5e-4f4f-9900-7e77cfd27e58,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254468,674186e8-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254470,655884f8-03c2-464a-9d89-7e73789d88dd,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254471,df998d5e-1b20-41bf-b6d4-b792e94e233c,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254472,88264494-d5ae-4b63-8a3e-88a25cb257c4,1983,,,12/30/2010,10,"1,356.16",206.16,11/11/2017,206.16,8.5,206.16,1356.16,10,1,0,0
77254473,8f31197b-2928-4750-98d5-3988e9a3611f,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254474,67418c82-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254475,d353ce8b-2c5d-461c-82f1-be54a5e74c49,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254476,206fee60-2071-4a6b-b500-2c3cc6974089,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254477,fb14558f-bf12-4ff6-ab15-d67a41fa49cd,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254478,67418fd8-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254479,3fb41ef2-35f6-4257-8ddd-9cb107490132,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254481,45a5937d-8c43-4da6-9eef-d4209867eb15,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254480,f127e368-2fa4-45f4-a3a0-471f819e6e71,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254483,67419513-ed72-11e6-8ec5-1254aa67e287,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254484,803d3955-ecb0-4af9-b75f-be6616b755c2,1983,,,11/11/2015,4,"1,200.00",600,11/18/2017,600,8.3,600,1200,4,1,0,0
77254485,d4e32193-e074-4b3a-a6f2-c5cbe66be856,1983,,,9/26/2012,3,798,500,11/14/2015,200,32.8,200,798,3,0,1,0
77254486,530bbe5d-6834-4549-bf81-28383a7e2f5e,1983,,,11/20/2016,2,200,100,11/15/2017,100,8.4,100,200,2,1,0,0
77254487,5b73a701-0924-4888-95a9-6892d9816376,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254488,7bdcf5ce-3d3a-4f35-864f-0ab7dd747c9d,1983,,,4/21/2011,2,100,50,10/6/2012,50,70.6,50,100,2,0,1,0
77254489,0c287472-ba2f-4c7b-9de0-856c7155711d,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254490,02bc608b-da7b-4b46-b0db-fcacc3e0eccf,1983,,1986,,0,0,0,,0,1000,0,0,0,0,0,1
77254492,6b9ff25a-c472-4984-b0aa-7a3f93df4da1,1983,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254493,67419c4e-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254494,bbfc0724-3ed3-4785-a475-acedd4004ccf,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254495,5a889148-3b55-45ec-afe6-873b74ae3114,1984,,,4/15/2011,1,250,250,4/15/2011,250,88.6,250,250,1,0,1,0
77254496,67419e02-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254497,aba2c220-3ede-4230-a03f-22f3def191a5,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254498,68547ea0-fcb6-4912-a92b-47bd43d8568e,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254499,e355108f-0a2d-49a1-b283-cefdb50dba68,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254500,6741a04a-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254501,aa829f21-7544-4378-8022-9c68f408f160,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254502,73907a98-56d1-4fbb-bfed-940fdfbc9fb8,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254503,f847ef1d-c5fe-489c-a488-bd2b7d22b67a,1984,,,8/25/2011,1,500,500,8/25/2011,500,84.2,500,500,1,0,1,0
77254504,7ff0c47d-c277-4cbe-a56e-1b69ed384661,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254505,6741a326-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254506,af7f52be-0cee-4e9e-9edc-ade98e4e27c6,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254507,42d58a0c-b1a9-4b1b-8d77-2f51d8d95c83,1984,,1986,8/19/2011,1,150,150,8/19/2011,150,84.4,150,150,1,0,1,0
77254508,3dd04594-2bc4-477d-937a-4a9ac0c55f79,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254509,f4d18c43-13d0-486e-91a3-73c590320761,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254510,6741a618-ed72-11e6-8ec5-1254aa67e287,1984,,,4/20/2011,6,"6,000.00","1,000.00",11/14/2017,"1,000.00",8.4,1000,6000,6,1,0,0
77254511,bf0f25da-f477-44fb-b3e2-2bc7f7e75313,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254512,0913b2ed-b3d0-4656-a8e3-ec96e0784ad9,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254513,a9693215-8dd2-4915-8f1a-004d018c2d81,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254514,c16491f6-f369-421f-8f99-c2fdf442b3ec,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254515,26637a9d-56d0-4864-9d0b-6e6f876714a5,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254516,3b1b0682-7680-457c-9f9e-a17b6737f55b,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254517,bdfa5069-820d-425b-888e-8464a39c8b3c,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254518,0465bb14-0d8c-4482-b589-d0c98afec579,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254519,da53040c-951b-4f72-9ed9-92a0d322e826,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254520,f1bb9dcc-3943-4f7b-ad43-14d8c38a6f43,1984,,,4/13/2011,2,100,50,4/13/2011,50,88.7,50,100,2,0,1,0
77254521,8fd85830-0708-4641-87a0-13479213dcd9,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254536,de83ef11-426a-4927-aac3-8efb5f4e5d00,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254522,00368aeb-f508-4976-b8d8-f7b501ebf7a3,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254523,3d65afea-bd0b-4471-9d50-42237ee6a3d7,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254524,6741b1a7-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254525,5485d9f5-543c-4941-a3ae-f0cc093ec2f0,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254526,6741b2e4-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254527,8efbbeee-66d7-4e15-a1a1-59fcea8f2e1f,1984,,,11/22/2015,1,25,25,11/22/2015,25,32.5,25,25,1,0,1,0
77254528,6ccb4710-f6bd-4680-bf1f-b2a913b1a28e,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254529,6741b4a4-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254530,3f6ba5f2-42c4-42fb-ac91-4f076deb1d2e,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254531,6741b5e2-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254532,bdc6d321-d17d-4386-942f-af44bb297985,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254533,7be7fff7-fc48-4278-b982-8ff96a264258,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254551,1c3608ab-98f2-41a6-ba47-cd8f75dcef59,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254534,30347f5d-1860-4127-b780-aea8d7ba9bde,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77489063,eebda973-366d-4d7f-a135-7190ab0aee77,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254543,44eff8be-443c-4c7a-b47c-239d7b47928a,1984,,,11/12/2017,1,100,100,11/12/2017,100,8.5,100,100,1,1,0,0
77254537,74cf1257-5869-47cd-b207-5045103c7e86,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254538,6741bcb0-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254539,c7848475-d326-4558-aad8-79817bd041be,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254540,6741bddc-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254541,d7f41e78-2eb1-43c2-9a35-3c85bda1e790,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254542,dffb603b-b0d1-4628-b0e0-d8d9e4cacb50,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254544,0e4819f7-e648-4769-ad60-a002207dab4d,1984,,,4/13/2011,1,"1,000.00","1,000.00",4/13/2011,"1,000.00",88.7,1000,1000,1,0,1,0
77254545,4efc91c4-35aa-492c-bdeb-616594267f75,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254546,39083cea-b9e1-4fef-af39-a3e970a3d63e,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254548,25f314ca-c328-4993-b6b1-e70e6f9dda6d,1984,,1987,8/25/2011,4,500,200,11/6/2017,200,8.7,200,500,4,1,0,0
77254557,3510c685-a919-4a14-917c-d2421b88aa94,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254549,47fd483e-62bb-4672-96d9-4baf15e69a4e,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254550,96cdfbb3-fbd9-4a15-a5f9-76cc5125ebba,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254547,6741c64d-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254552,6741ce79-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254560,f9cd0207-c81f-4d23-856f-c210378cba94,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254553,6741cf9a-ed72-11e6-8ec5-1254aa67e287,1984,,,11/14/2014,4,650,200,11/15/2017,200,8.4,200,650,4,1,0,0
77254555,fabc32a4-59c6-42fd-8a60-dbce7ff30030,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254554,6741d085-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254556,08c7b777-e9aa-469a-85c4-74ac695475d7,1984,,1986,11/15/2013,4,400,200,11/22/2015,50,32.5,50,400,4,0,1,0
77254558,5b89ca23-db8e-4565-b0c8-12f87eb3692d,1984,,1989,,0,0,0,,0,1000,0,0,0,0,0,1
77254559,6741dcf2-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254561,6741e3a0-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254562,6741ea93-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254563,6741eb3b-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254564,dac3a3bc-2b66-488e-9308-fbd607b3d0de,1984,,1987,,0,0,0,,0,1000,0,0,0,0,0,1
77254565,f49c0b3e-0e74-47bf-93c7-55fe04c06ae5,1984,,,3/12/2013,7,"9,452.00","1,984.00",11/17/2017,"1,984.00",8.3,1984,9452,7,1,0,0
77254566,c2feb23c-7a70-43bf-87cf-21fe3cb407cf,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254567,a73ccde5-d9a1-4961-a48e-473c4e7319ea,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254568,ad71b75b-1c4c-4868-b47a-e537c9f0c75f,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254569,9f0ddd2f-1ae7-47dc-916b-09c00dbd9437,1984,,,8/21/2011,3,450,250,11/22/2015,250,32.5,250,450,3,0,1,0
77254570,6741efa6-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254571,fbdacdbb-b127-4f96-aef8-9f9c00571300,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254572,6741f0d2-ed72-11e6-8ec5-1254aa67e287,1984,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254573,d2f0fa9d-d9c0-4cbc-930f-8c2ef0861db9,1985,,,4/19/2011,1,200,200,4/19/2011,200,88.5,200,200,1,0,1,0
77254574,85bd7e9b-dca6-40c8-922d-fa3e60510eb4,1985,,,3/12/2013,1,50,50,3/12/2013,50,65.4,50,50,1,0,1,0
77254575,6741f28c-ed72-11e6-8ec5-1254aa67e287,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254576,0417c1a2-d208-4efd-9854-167e49b45dfd,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254577,5097d60e-adb1-4dbc-80a1-cfb977e0f25d,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254598,0fbb8f05-b1b8-4191-8e4c-d883b18607ae,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254578,f9707000-1d88-40c8-b5c5-656a96cc2fb1,1985,,,4/20/2011,5,550,250,11/19/2017,100,8.3,100,550,5,1,0,0
77254579,8022b76f-5ff9-473a-8e6b-7f3a79accf9e,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254580,6741f56a-ed72-11e6-8ec5-1254aa67e287,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254581,43f1ea5d-a5d2-485a-862f-0542dba724bc,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254582,486e4c27-1efe-42cf-a316-0689eacd84b6,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254583,f1f49f3a-dda1-4f65-94c0-95c1e2b5e725,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254584,699f094e-8c5e-4f24-bdd3-c9efcd359920,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254585,6741f871-ed72-11e6-8ec5-1254aa67e287,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
77254586,6741f906-ed72-11e6-8ec5-1254aa67e287,1985,,,,0,0,0,,0,1000,0,0,0,0,0,1
