Supporter ID, External ID, Country, State, City, Reference Name,Split Name, Time Sent, Conversion Date, Activity Type, Activity Name, Activity ID, Amount, Donation Type
9d761e57-f4ad-447a-aa17-226d79f14217,,US,PA,Breinigsville,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_09:57_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$50.00 ,OneTime
47281680-a2f7-446f-aad1-6204716b7b24,77254986,US,NH,Landaff,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_10:04_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,"$4,000.00 ",OneTime
6742e455-ed72-11e6-8ec5-1254aa67e287,,US,PA,Pittsburgh,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_10:11_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$51.69 ,OneTime
20892862-0ee7-45ac-9bb1-7ab5ba481dcf,77258778,US,PA,Hummelstown,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_10:16_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$10.00 ,OneTime
0f355229-0af9-4566-ae2e-c2917cc568ce,77254423,US,WI,Racine,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_11:25_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$50.00 ,OneTime
43fd20fa-94c4-4fd8-8463-c3bf6317cc68,77255975,US,FL,Delray Beach,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_11:45_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.00 ,OneTime
f8ac9aa8-1e2c-4c5b-98e7-6f34866d9629,77254676,US,CO,Fort Collins,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_11:48_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$51.69 ,OneTime
55582830-a73d-4671-9c34-bc33456ce306,77255233,US,PA,Coatesville,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_11:59_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.00 ,OneTime
3d6dc404-157d-4498-a9f8-ba4ae1b06e19,77254780,US,WA,Seattle,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_12:07_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$50.00 ,OneTime
3f194410-a72f-4068-bc96-cb981cf9201c,77258032,US,CA,Pasadena,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_12:22_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.95 ,OneTime
da98e025-cb9b-4a9c-a848-3c489c6da111,84242423,US,PA,University Park,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_12:43_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.76 ,OneTime
fc0455a2-7ea3-4b17-91e1-583a23169a56,77255792,US,CA,Palo Alto,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_12:49_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$250.00 ,OneTime
45b0328f-82ce-4f19-878f-e4f9bd2b48fd,,US,PA,Fairfield,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_13:16_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.00 ,OneTime
8b72c5af-97ac-4255-af32-8766608386d9,77254766,US,OR,Portland,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_13:27_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$100.00 ,OneTime
6a02bfd0-e2e2-4eb8-8dba-a981fb2529e3,77257816,US,PA,Pittsburgh,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_15:43_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$400.00 ,OneTime
29de88fc-03a7-477f-a845-f3f223efeef1,77256551,US,IL,Chicago,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_16:52_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$51.69 ,OneTime
15e39a51-9187-4755-9fe8-ad048594aeec,77255764,US,WA,Seattle,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_16:38_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$98.98 ,OneTime
10fe9875-248d-4177-860e-1dc0e0107a02,77256113,US,VA,Sterling,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_17:28_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$103.18 ,OneTime
ecd53066-99d3-43fa-bab7-d035bd9d19ed,77256598,US,DC,Washington,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_19:22_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$51.69 ,OneTime
556df036-6f57-4094-8a59-834913d253de,,US,MD,Baltimore,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-01_22:59_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$100.00 ,OneTime
ab1fa2e3-facb-4975-bd9c-75e74f385088,77255313,US,CA,Beverly Hills,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-02_10:48_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$100.00 ,OneTime
a611ad47-7bf6-4a15-8376-653fee1e6caa,77258498,US,PA,Pittsburgh,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-02_13:37_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$10.50 ,OneTime
bbcf5ca8-7ec8-4980-8105-99e1143990f3,77257858,US,GA,Atlanta,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-02_13:54_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$500.00 ,OneTime
ad408de3-4087-4873-97bc-f112a8a2d61b,77258756,US,PA,Homer City,Class Experiment Reminder 2,Split A,2018-07-31_23:06_EDT,2018-08-03_18:18_EDT,Fundraising,Class Experiment Donation Form,7d06d20f-08a5-4b5b-a4cb-aae96485f4c1,$25.95 ,OneTime
